,Score
Unnamed: 0,-0.5974319400113666
dQ-w-max,0.13074538146764503
dQ-w-min,-0.1108063055165668
dQ-w-avg,-0.47545214251224754
dQ-w-var,0.04944442060878825
dQ-w-skew,0.07795685006983567
dQ-w-kurt,-0.06848175873533138
dQ-w-aut1,-0.4767666950493892
dQ-w-aut2,-0.4708324981097498
dQ-w-aut3,-0.45834909815921104
dQ-w-aut4,-0.4748219268058394
dQ-w-aut5,-0.4620369753507229
dQ-w-aut6,-0.44703301735312706
dQ-w-aut7,-0.4293081874792213
dQ-w-aut8,-0.26394503647021417
dQ-w-aut9,-0.2393387144264232
dQ-w-aut10,-0.22219702521928913
dQ-w-pks1,0.14809675697397806
dQ-w-pks2,0.25806857270042255
dQ-w-pks3,0.2703669808438178
dQ-w-pks4,0.23004594124224056
dQ-w-pks5,0.1513251150622325
dQ-w-fpk1,0.16138853113077067
dQ-w-fpk2,0.0402830615355639
dQ-w-fpk3,-0.004639019055884569
dQ-w-fpk4,-0.022770224045476118
dQ-w-fpk5,-0.013213795454019517
dQ-x-max,0.3759915632943614
dQ-x-min,-0.4713686581799807
dQ-x-avg,-0.3405605624752671
dQ-x-var,0.6622263388572561
dQ-x-skew,0.06733469660823552
dQ-x-kurt,0.012460987304104096
dQ-x-aut1,0.673910845452914
dQ-x-aut2,0.5220926013789049
dQ-x-aut3,-0.7174872197806906
dQ-x-aut4,-0.6481698964108462
dQ-x-aut5,0.5750367025806756
dQ-x-aut6,0.3573429855256968
dQ-x-aut7,-0.1388163014985996
dQ-x-aut8,-0.30567946245117017
dQ-x-aut9,-0.2521237125490924
dQ-x-aut10,-0.2203532828793323
dQ-x-pks1,0.3957992515981983
dQ-x-pks2,0.2147102721108363
dQ-x-pks3,0.2904479414901529
dQ-x-pks4,0.3485332643826549
dQ-x-pks5,0.33594814156325364
dQ-x-fpk1,-0.0463450358286323
dQ-x-fpk2,-0.017606179770176835
dQ-x-fpk3,0.030714079628437474
dQ-x-fpk4,-0.008799551803442697
dQ-x-fpk5,-0.02385709503386652
dQ-y-max,0.14993674551983682
dQ-y-min,-0.26521955683448367
dQ-y-avg,-0.3364884304071067
dQ-y-var,0.3272490516823287
dQ-y-skew,0.16182815471323536
dQ-y-kurt,-0.004122708907524659
dQ-y-aut1,0.33903811210599555
dQ-y-aut2,0.18888419304026846
dQ-y-aut3,-0.2824374192838394
dQ-y-aut4,-0.24300619389122302
dQ-y-aut5,0.2620634236170803
dQ-y-aut6,0.2669727558710813
dQ-y-aut7,-0.07776099955229099
dQ-y-aut8,-0.17713055107675
dQ-y-aut9,-0.15594472459642286
dQ-y-aut10,-0.14427509940521044
dQ-y-pks1,0.1729516520399703
dQ-y-pks2,0.17002057774136703
dQ-y-pks3,0.09831415136767693
dQ-y-pks4,0.06685485642865281
dQ-y-pks5,0.13070009024819423
dQ-y-fpk1,-0.0333484965803721
dQ-y-fpk2,-0.04064888949384873
dQ-y-fpk3,-0.03487676522986434
dQ-y-fpk4,-0.0036849262594811287
dQ-y-fpk5,0.011787770714778259
dQ-z-max,-0.37146049835953887
dQ-z-min,-0.2048667260518061
dQ-z-avg,0.12570906571919316
dQ-z-var,-0.021351486163822073
dQ-z-skew,-0.5977820082259877
dQ-z-kurt,-0.15399706947166714
dQ-z-aut1,-0.031281399056307106
dQ-z-aut2,0.22593608065235507
dQ-z-aut3,-0.21167708098336924
dQ-z-aut4,-0.03846103439096652
dQ-z-aut5,0.3421222538046416
dQ-z-aut6,-0.061975282238883704
dQ-z-aut7,-0.19901157837233496
dQ-z-aut8,-0.14823362805991572
dQ-z-aut9,-0.08480887055666894
dQ-z-aut10,-0.0519527783076176
dQ-z-pks1,0.09983725993394144
dQ-z-pks2,-0.3873884059831833
dQ-z-pks3,-0.03251635528227226
dQ-z-pks4,-0.017839948844311355
dQ-z-pks5,-0.018283278938270215
dQ-z-fpk1,-0.02868434558829946
dQ-z-fpk2,0.07748031663572903
dQ-z-fpk3,0.005886677810088265
dQ-z-fpk4,-0.014490981247170234
dQ-z-fpk5,-0.03772998419512363
dV-1-max,-0.7704069148605749
dV-1-min,-0.6266895346206657
dV-1-avg,-0.8644773019747471
dV-1-var,0.3674806429500086
dV-1-skew,-0.7239013050257531
dV-1-kurt,-0.11378341309677951
dV-1-aut1,0.5191078866899531
dV-1-aut2,0.12426306424230645
dV-1-aut3,0.7075540692005462
dV-1-aut4,0.18273921863037013
dV-1-aut5,0.43779549756019687
dV-1-aut6,0.35390109545258147
dV-1-aut7,0.06440779097312174
dV-1-aut8,0.2757774212055623
dV-1-aut9,0.18950676615710815
dV-1-aut10,0.12356614890935327
dV-1-pks1,0.12427665315615376
dV-1-pks2,0.17039971895726772
dV-1-pks3,0.20451376419439304
dV-1-pks4,0.20362247267206096
dV-1-pks5,0.2020504133714541
dV-1-fpk1,0.11555358398318291
dV-1-fpk2,0.07047628769612772
dV-1-fpk3,0.01388690917525656
dV-1-fpk4,-0.013706695076135762
dV-1-fpk5,-0.0014126761144402224
dV-2-max,0.004998184816279717
dV-2-min,-0.2022329808756441
dV-2-avg,-0.19814601567242507
dV-2-var,0.34628974432654225
dV-2-skew,-0.11715966655012906
dV-2-kurt,-0.06798504662839325
dV-2-aut1,0.25140830654160146
dV-2-aut2,-0.2975512247695989
dV-2-aut3,-0.43355348751757466
dV-2-aut4,-0.5690743676062191
dV-2-aut5,0.2369586891117909
dV-2-aut6,0.11965531393753188
dV-2-aut7,-0.27677280259186005
dV-2-aut8,-0.15378956319595888
dV-2-aut9,-0.16328843252788933
dV-2-aut10,-0.18020364586038842
dV-2-pks1,0.32757304519058894
dV-2-pks2,0.01065219037878828
dV-2-pks3,0.04437516245609508
dV-2-pks4,0.19040689789821655
dV-2-pks5,0.15021094469247764
dV-2-fpk1,-0.00982208269813449
dV-2-fpk2,-0.023270245568686225
dV-2-fpk3,-0.04837967382105172
dV-2-fpk4,-0.062476797594933554
dV-2-fpk5,-0.05953117205964085
dV-3-max,-0.4594324912217437
dV-3-min,-0.46004025211011723
dV-3-avg,-0.5466335937662388
dV-3-var,-0.12604229952679077
dV-3-skew,-0.40234644591581364
dV-3-kurt,-0.10084884476710249
dV-3-aut1,-0.4533556042020781
dV-3-aut2,-0.15826887168144566
dV-3-aut3,-0.7181510099659993
dV-3-aut4,-0.8343544517720428
dV-3-aut5,0.11546437293780747
dV-3-aut6,-0.5100002246927747
dV-3-aut7,-0.2535860374532751
dV-3-aut8,-0.38390296476246527
dV-3-aut9,-0.390168267226244
dV-3-aut10,-0.40792582324170024
dV-3-pks1,0.12089004150786753
dV-3-pks2,-0.11945349593734374
dV-3-pks3,-0.07577203663654185
dV-3-pks4,-0.08392872407857696
dV-3-pks5,-0.07606261380296987
dV-3-fpk1,-0.10142517990385892
dV-3-fpk2,-0.05665874468887346
dV-3-fpk3,-0.10115792630393677
dV-3-fpk4,-0.07542242260501
dV-3-fpk5,-0.07887944899514839
Mag-x-max,0.7775835559035348
Mag-x-min,0.712504669797112
Mag-x-avg,0.7497821685269896
Mag-x-var,-0.09504192865855798
Mag-x-skew,-0.33815740583676246
Mag-x-kurt,0.09087830221441642
Mag-x-aut1,-0.8111251225272278
Mag-x-aut2,-0.814676729940382
Mag-x-aut3,-0.8192396092391966
Mag-x-aut4,-0.8181947323694186
Mag-x-aut5,-0.8102392149387815
Mag-x-aut6,-0.7974686184008437
Mag-x-aut7,-0.7992161852654557
Mag-x-aut8,-0.8139212953731428
Mag-x-aut9,-0.8156699866328814
Mag-x-aut10,-0.8158504582464942
Mag-x-pks1,-0.1412390677756757
Mag-x-pks2,-0.15685576904472825
Mag-x-pks3,-0.08171766984939924
Mag-x-pks4,-0.09839778176753669
Mag-x-pks5,-0.07905381149365193
Mag-x-fpk1,0.060931886733049785
Mag-x-fpk2,0.0883147489706107
Mag-x-fpk3,0.05419544337975459
Mag-x-fpk4,0.048346461396666755
Mag-x-fpk5,0.040467245381531736
Mag-y-max,0.10621043851178627
Mag-y-min,-0.04975676056908702
Mag-y-avg,0.02211387616884576
Mag-y-var,0.33335220178363273
Mag-y-skew,-0.041797189563778654
Mag-y-kurt,-0.2468003224773669
Mag-y-aut1,-0.0715663411887844
Mag-y-aut2,-0.08864032132735607
Mag-y-aut3,-0.11352477402065936
Mag-y-aut4,-0.10654106575370528
Mag-y-aut5,-0.07570298111192066
Mag-y-aut6,-0.06998357934521111
Mag-y-aut7,-0.09083059667513121
Mag-y-aut8,-0.10291815867836354
Mag-y-aut9,-0.10008993888800267
Mag-y-aut10,-0.09796321993724232
Mag-y-pks1,0.35224330458512176
Mag-y-pks2,0.04717161796929919
Mag-y-pks3,0.15218146353035183
Mag-y-pks4,0.21543972448762352
Mag-y-pks5,0.22865098266131184
Mag-y-fpk1,-0.062282424912894103
Mag-y-fpk2,0.005605477488654215
Mag-y-fpk3,-0.01467769445515703
Mag-y-fpk4,-0.027222775185182065
Mag-y-fpk5,-0.05876208921761282
Mag-z-max,0.5902633293280238
Mag-z-min,0.5636687336027818
Mag-z-avg,0.574438596545741
Mag-z-var,0.22472434878906503
Mag-z-skew,0.12486485446383816
Mag-z-kurt,-0.029710962497770013
Mag-z-aut1,-0.5851031125456054
Mag-z-aut2,-0.5858119362254544
Mag-z-aut3,-0.5871831046878548
Mag-z-aut4,-0.5862914481840003
Mag-z-aut5,-0.5823005524820438
Mag-z-aut6,-0.5799092455205128
Mag-z-aut7,-0.5820390064875921
Mag-z-aut8,-0.5826950479430933
Mag-z-aut9,-0.581789916478124
Mag-z-aut10,-0.5812184582490851
Mag-z-pks1,0.16398413525289962
Mag-z-pks2,0.14854130986455738
Mag-z-pks3,0.17750574120137558
Mag-z-pks4,0.1791762567041734
Mag-z-pks5,0.15393925382444626
Mag-z-fpk1,0.014596226104905307
Mag-z-fpk2,-0.006648728841766667
Mag-z-fpk3,-0.011466686667881315
Mag-z-fpk4,-0.03824166702729025
Mag-z-fpk5,-0.04657204554858363
Quat-w-max,-0.22224011311543787
Quat-w-min,-0.1304944284415691
Quat-w-avg,-0.16827177839042942
Quat-w-var,-0.33332150370568125
Quat-w-skew,-0.18069682092401984
Quat-w-kurt,0.26481713757286707
Quat-w-aut1,-0.46629970112275554
Quat-w-aut2,-0.45194028506203876
Quat-w-aut3,-0.4312463772764224
Quat-w-aut4,-0.4298774178869798
Quat-w-aut5,-0.4397573085491464
Quat-w-aut6,-0.4328317150478313
Quat-w-aut7,-0.41546205639425765
Quat-w-aut8,-0.4018112337830727
Quat-w-aut9,-0.3982265835191749
Quat-w-aut10,-0.39645350926742773
Quat-w-pks1,-0.36224675764576775
Quat-w-pks2,-0.23844551953705367
Quat-w-pks3,-0.11274729199964288
Quat-w-pks4,-0.15841801731172975
Quat-w-pks5,-0.2378505153982517
Quat-w-fpk1,0.03777493352236732
Quat-w-fpk2,-0.018879055057786427
Quat-w-fpk3,-0.07880673687613114
Quat-w-fpk4,-0.09479904007923892
Quat-w-fpk5,-0.09070295866587949
Quat-x-max,-0.1125496273287524
Quat-x-min,-0.25335950493623843
Quat-x-avg,-0.1892802798273794
Quat-x-var,0.5191272731626907
Quat-x-skew,0.19198057728775744
Quat-x-kurt,-0.4094673851634965
Quat-x-aut1,0.3716320540104095
Quat-x-aut2,0.34171444706939136
Quat-x-aut3,0.2981330388963855
Quat-x-aut4,0.30879889354004536
Quat-x-aut5,0.3530288503085585
Quat-x-aut6,0.35554241980240364
Quat-x-aut7,0.3163813553953506
Quat-x-aut8,0.29114914295224303
Quat-x-aut9,0.29276977161225404
Quat-x-aut10,0.2953540118378958
Quat-x-pks1,0.46553955317195117
Quat-x-pks2,0.25544107143787753
Quat-x-pks3,0.29461835869128405
Quat-x-pks4,0.352070521421262
Quat-x-pks5,0.365159975254348
Quat-x-fpk1,-0.0536216328432922
Quat-x-fpk2,0.03983773820717325
Quat-x-fpk3,0.016280541350724147
Quat-x-fpk4,-0.02815701100739097
Quat-x-fpk5,-0.022543889268563627
Quat-y-max,0.044706911767426825
Quat-y-min,-0.08725030480242503
Quat-y-avg,-0.018615257173282666
Quat-y-var,0.5033805305084726
Quat-y-skew,-0.09922357322094398
Quat-y-kurt,-0.3714154937863383
Quat-y-aut1,0.4456542814937918
Quat-y-aut2,0.41710660593653864
Quat-y-aut3,0.374888662162182
Quat-y-aut4,0.384200277015617
Quat-y-aut5,0.4297809759863794
Quat-y-aut6,0.4329194479161934
Quat-y-aut7,0.3919682430598728
Quat-y-aut8,0.36886612452388895
Quat-y-aut9,0.37033955953290054
Quat-y-aut10,0.37202103803779424
Quat-y-pks1,0.4456772294756547
Quat-y-pks2,0.1527576932661814
Quat-y-pks3,0.2235942853176322
Quat-y-pks4,0.2775687952032994
Quat-y-pks5,0.2753411441288332
Quat-y-fpk1,-0.08927875171390062
Quat-y-fpk2,0.07819895963620561
Quat-y-fpk3,0.04917501638312337
Quat-y-fpk4,0.0473689208160256
Quat-y-fpk5,0.014881655150521362
Quat-z-max,-0.24657127960528832
Quat-z-min,-0.1701810841131621
Quat-z-avg,-0.21491580276206837
Quat-z-var,-0.36696494912968175
Quat-z-skew,0.07622006599062822
Quat-z-kurt,0.253971288420771
Quat-z-aut1,-0.518336337305101
Quat-z-aut2,-0.5060992730865519
Quat-z-aut3,-0.4884077486346065
Quat-z-aut4,-0.487230827557547
Quat-z-aut5,-0.5010408456180372
Quat-z-aut6,-0.4982902178513332
Quat-z-aut7,-0.4817050213997249
Quat-z-aut8,-0.47768245522348185
Quat-z-aut9,-0.4773601949885327
Quat-z-aut10,-0.47696858119956076
Quat-z-pks1,-0.3495943753890375
Quat-z-pks2,-0.14987225937141604
Quat-z-pks3,-0.10485573995016605
Quat-z-pks4,-0.14640633375153098
Quat-z-pks5,-0.2564226367523557
Quat-z-fpk1,-9.065719699516436e-05
Quat-z-fpk2,-0.05601868841483311
Quat-z-fpk3,-0.056101936820006255
Quat-z-fpk4,-0.07031844649311764
Quat-z-fpk5,-0.061492644712607125
FreeAcc-x-max,0.36233379656905906
FreeAcc-x-min,-0.2649071613137829
FreeAcc-x-avg,0.016846937901252062
FreeAcc-x-var,0.38921385438025125
FreeAcc-x-skew,0.13590872874534773
FreeAcc-x-kurt,0.0383325594307817
FreeAcc-x-aut1,0.386838197521801
FreeAcc-x-aut2,-0.3400177156644564
FreeAcc-x-aut3,-0.27546621684891254
FreeAcc-x-aut4,-0.17932546232371985
FreeAcc-x-aut5,0.21566626877980305
FreeAcc-x-aut6,0.19503144936278372
FreeAcc-x-aut7,-0.2557152919704278
FreeAcc-x-aut8,-0.16310611051030321
FreeAcc-x-aut9,-0.10616486750889738
FreeAcc-x-aut10,-0.07361931207381961
FreeAcc-x-pks1,0.20915720849294658
FreeAcc-x-pks2,0.2544991178457146
FreeAcc-x-pks3,-0.03911057429100858
FreeAcc-x-pks4,0.06897286570307824
FreeAcc-x-pks5,0.14810822184698852
FreeAcc-x-fpk1,0.017518631130494455
FreeAcc-x-fpk2,-0.018008627424068616
FreeAcc-x-fpk3,-0.04369818923102226
FreeAcc-x-fpk4,-0.03241542941697708
FreeAcc-x-fpk5,-0.020523061072653094
FreeAcc-y-max,0.4985749211564634
FreeAcc-y-min,-0.4843070540699903
FreeAcc-y-avg,0.007712618484912365
FreeAcc-y-var,0.5932603932013425
FreeAcc-y-skew,-0.00551740225306717
FreeAcc-y-kurt,-0.25105340776954604
FreeAcc-y-aut1,0.5920912794481522
FreeAcc-y-aut2,0.08697417578444318
FreeAcc-y-aut3,-0.49175320452984067
FreeAcc-y-aut4,-0.5515110047283822
FreeAcc-y-aut5,0.4068875369641703
FreeAcc-y-aut6,0.4615849163999633
FreeAcc-y-aut7,-0.1908474125498276
FreeAcc-y-aut8,-0.31153028106457625
FreeAcc-y-aut9,-0.24406584090110647
FreeAcc-y-aut10,-0.19897871795737584
FreeAcc-y-pks1,0.4945822944920932
FreeAcc-y-pks2,0.23389225473062134
FreeAcc-y-pks3,0.28558089442191953
FreeAcc-y-pks4,0.2249006807086067
FreeAcc-y-pks5,0.23293669580200355
FreeAcc-y-fpk1,-0.018782296573131636
FreeAcc-y-fpk2,-0.02721410243091179
FreeAcc-y-fpk3,-0.03782126572879606
FreeAcc-y-fpk4,-0.01820365536692136
FreeAcc-y-fpk5,-0.0050476338723060375
FreeAcc-z-max,0.24431513912727215
FreeAcc-z-min,-0.5741047530536874
FreeAcc-z-avg,0.054658022769259164
FreeAcc-z-var,0.5113612932025544
FreeAcc-z-skew,-0.30080730794942273
FreeAcc-z-kurt,-0.18541476799714568
FreeAcc-z-aut1,0.5127243513015622
FreeAcc-z-aut2,-0.5045397882105087
FreeAcc-z-aut3,0.44792924535545114
FreeAcc-z-aut4,-0.4128046763446002
FreeAcc-z-aut5,0.2404606025217801
FreeAcc-z-aut6,-0.010824925468099909
FreeAcc-z-aut7,-0.3100561932479002
FreeAcc-z-aut8,0.32766896446578037
FreeAcc-z-aut9,0.13326649335302368
FreeAcc-z-aut10,0.005455941143217564
FreeAcc-z-pks1,0.011214224152677503
FreeAcc-z-pks2,0.12839703451198536
FreeAcc-z-pks3,0.11362506365204232
FreeAcc-z-pks4,0.2238220802436017
FreeAcc-z-pks5,0.17394109551130232
FreeAcc-z-fpk1,0.0049348308357329155
FreeAcc-z-fpk2,-0.01751623572820036
FreeAcc-z-fpk3,-0.03421185477115782
FreeAcc-z-fpk4,-0.04669881200303812
FreeAcc-z-fpk5,-0.04200299094949369
Score,1.0
